pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,play_id,downloaded,filename
SI,2025-09-16,96.2,-1.76,5.74,"Kittredge, Andrew",669261,552640,,ball,,,,,14,Ball,R,L,R,PIT,CHC,B,,,0,0,2025,-1.17,0.5,0.0974072955421625,0.8770720670837122,,,,1,7,Bot,,,,,,,7.647856692656695,-139.65787107160426,-8.493160240501455,-17.057648711937084,30.970408544550004,-23.949013507891134,3.49000069077069,1.5676239574674,,,,97.0,2354,6.8,776308,608348,683737,663538,807713,621020,664023,691718,650489,53.69,,,,,,,,60,1,Sinker,1,4,1,4,4,1,1,4,Infield shade,Standard,220,0.003,0.039,,,,-0.039,,-3,-3,0.1,0.1,35,26,35,27,1,2,2,1,4,1,1.98,1.17,-1.17,39.4,,,,,,20d9fa2a-6f98-365b-8f48-58bc5b0cb54e,True,776308_20d9fa2a_SI.mp4
SI,2025-09-05,91.5,-2.31,5.47,"Irvin, Jake",621020,663623,walk,ball,,,,,9,Dansby Swanson walks.,R,R,R,CHC,WSH,B,,,3,0,2025,-1.45,0.49,0.6588661088123724,1.6617374496463777,691718,,,2,3,Bot,,,,,,,10.770113156359924,-132.7843884587083,-4.800993408028738,-19.50768016468956,29.855803640803508,-25.45338062888744,3.45089571315637,1.71866636830357,,,,92.4,2331,7.1,776455,656180,665953,671277,691781,682928,695578,690987,695734,53.41,,0.691497,0.7,1,0,0,,26,4,Sinker,6,0,6,0,0,6,6,0,Standard,Standard,231,0.0,0.042,,,,-0.042,,6,6,0.958,0.958,28,31,28,31,2,1,6,2,5,1,2.26,1.45,1.45,22.9,,,,,,4fce17c2-1333-36a3-829b-e8a0e37bf1f2,True,776455_4fce17c2_SI.mp4
CU,2025-09-19,77.9,1.27,5.92,"Gibson, Cade",664238,806188,,called_strike,,,,,8,Called Strike,R,R,L,TEX,MIA,S,,,0,0,2025,-1.19,-1.23,0.0854172463471165,1.5642650648239362,,,,1,9,Bot,,,,,,,-0.3370223452445783,-113.30729252627776,-0.0392764193770895,-10.037212800364069,25.35566618968208,-42.83766470930428,3.38000339519053,1.52121285222218,,,,76.6,3008,5.9,776251,689414,676572,669364,681393,672640,691594,805300,667472,54.58,,,,,,,,66,1,Curveball,1,1,1,1,1,1,1,1,Standard,Strategic,317,-0.007,-0.039,,,,0.039,,0,0,0.582,0.582,27,32,27,33,1,0,6,2,1,4,5.06,-1.19,1.19,35.9,,,,,,9aba59f6-ed37-3542-a399-89ce89347efc,True,776251_9aba59f6_CU.mp4
FF,2025-09-06,98.6,-0.38,6.59,"Stanek, Ryne",670770,592773,,ball,,,,,12,Ball,R,L,R,CIN,NYM,B,,,0,0,2025,-0.47,1.47,0.9089083373227048,2.929752833087123,668715,624431,680574,1,7,Bot,,,,,,,4.554134830428084,-143.44558982281592,-7.849595134947258,-7.5089008196574385,33.27151187648919,-10.31373709529502,3.13269031679441,1.4221510078744,,,,97.8,2306,5.9,776439,682626,624413,643446,683146,596019,607043,656775,665742,54.63,,,,,,,,59,1,4-Seam Fastball,4,2,4,2,2,4,4,2,Strategic,Standard,201,0.003,0.038,,,,-0.038,,2,2,0.928,0.928,33,29,34,30,1,3,1,1,4,1,0.88,0.47,-0.47,50.1,,,,,,2914c08e-7b12-3dc0-bba8-ebbee99aac70,True,776439_2914c08e_FF.mp4
ST,2025-09-02,74.5,-2.91,4.98,"Herget, Jimmy",642086,623474,,swinging_strike,,,,,5,Swinging Strike,R,L,R,COL,SF,S,,,1,1,2025,1.23,0.04,-0.2401703527503671,2.2987253023509457,,,669477,0,9,Top,,,,,,,3.25371605709916,-108.53257647579176,1.5207934035271269,9.210405905977211,18.379311506249262,-32.302731728906046,3.31,1.59,,,,72.9,2964,4.9,776486,696100,571657,690022,691720,678662,666160,686668,671289,55.59,,,,,,,,74,3,Sweeper,4,7,7,4,7,4,7,4,Infield shade,Standard,74,0.001,-0.07,74.8,7.7,,0.07,,-3,3,0.029,0.971,31,30,32,30,1,4,3,1,4,3,4.04,-1.23,1.23,3.4,26.1249063521742,-22.92701690044729,36.50314041228832,41.00395980090329,52.40603079216382,7cdd8994-2814-3ec7-9dde-3a231651f0f3,True,776486_7cdd8994_ST.mp4
SI,2025-09-06,94.1,-1.97,6.21,"Bibee, Tanner",691406,676440,,foul,,,,,8,Foul,R,R,R,TB,CLE,S,,,1,1,2025,-1.22,0.91,-0.217285417773462,2.1039593833719388,,,,0,7,Bot,,,,,,,7.312304071464078,-136.69105755626785,-6.987666179225195,-16.870672437028386,30.128714573036948,-19.43991648891245,3.5,1.59,166,76.2,59,94.8,2325,6.8,776438,666310,692216,682177,608070,672356,680757,682657,666134,53.73,,,,,,,,51,3,Sinker,2,2,2,2,2,2,2,2,Strategic,Strategic,209,-0.007,-0.061,83.4,8.4,,0.061,88.0,0,0,0.586,0.586,26,21,26,22,3,2,6,1,6,1,1.68,1.22,1.22,53.1,3.104708714485235,-0.1388868564262667,29.717390698275555,34.563397604511096,32.74977942234863,1d909d65-f445-3e90-9bf2-08344dc4a9d8,True,776438_1d909d65_SI.mp4
SI,2025-09-20,94.9,-0.92,5.69,"Patrick, Chad",571448,694477,,foul,,,,,2,Foul,R,R,R,STL,MIL,S,,,2,2,2025,-1.26,1.02,0.2743557723678298,3.205559610226178,,,,0,2,Bot,,,,,,,5.956576802160109,-138.07323481189096,-3.0897802468753395,-17.510641359595848,32.740454170604906,-18.635097664761503,3.43,1.7,221,76.1,24,94.7,2258,6.3,776244,661388,683734,668930,702332,687401,641343,694192,686217,54.17,,,,,,,,14,5,Sinker,0,1,0,1,1,0,0,1,Strategic,Standard,213,0.0,0.0,65.3,6.6,,0.0,88.0,-1,-1,0.441,0.441,26,34,27,34,1,0,4,1,4,2,1.52,1.26,1.26,33.4,-3.523197645112905,23.462730700796804,29.655877741832537,40.12715178235591,19.49243208574589,992f73c1-0b76-3ad0-a5d9-4e419134fa63,True,776244_992f73c1_SI.mp4
FC,2025-09-01,90.7,-2.14,5.26,"Dollander, Chase",646240,801403,home_run,hit_into_play,,,,,6,Rafael Devers homers (29) on a line drive to right field.,R,L,R,COL,SF,X,,line_drive,1,2,2025,0.3,0.34,0.4916348894765647,2.655675446407609,,,,1,1,Top,245.68,81.49,,,,,5.9050540471012845,-132.16468079762922,-1.3842871241307706,2.420328794847571,25.37945867943828,-28.04472895645173,3.45,1.61,411,114.5,21,90.7,2635,6.0,776492,696100,606115,671289,691720,678662,687597,686668,666160,54.48,0.963857142857143,1.8254285714285716,2.0,1,0,3,6,2,4,Cutter,0,0,0,0,1,0,1,0,Infield shade,Standard,145,-0.102,1.657,77.3,7.9,3.526,-1.657,114.5,0,0,0.526,0.474,23,28,24,29,1,0,5,1,7,1,2.4,-0.3,0.3,23.4,17.26408835575305,-11.368134981196013,27.394688221750865,30.138172098865034,40.66644463555306,32bfb03d-28ac-35b9-b481-ff9a30521ce9,True,776492_32bfb03d_FC.mp4
FC,2025-09-23,89.0,-2.18,5.91,"Vásquez, Randy",592885,681190,,foul,,,,,6,Foul,R,L,R,SD,MIL,S,,,0,1,2025,0.09,0.4,0.3191015896601947,2.583106774441574,,,,1,3,Top,,,,,,,5.906178126317075,-129.51451279646412,-2.958774502135841,-0.1838112906476446,26.255184376851844,-27.30469764849901,3.33,1.78,198,72.3,46,88.6,2894,6.0,776214,666023,656811,669200,578428,593428,657757,669369,657656,54.54,,,,,,,,22,2,Cutter,6,0,0,6,0,6,0,6,Infield shade,Standard,146,0.001,-0.052,71.3,6.8,,0.052,88.0,6,-6,0.949,0.051,26,33,27,34,2,1,5,1,5,1,2.47,-0.09,0.09,31.8,-2.807523752318703,19.281022237168354,40.28938741358424,34.13613428160025,21.005741297378925,e574fa80-a03f-33b8-a1ea-c593138885ed,True,776214_e574fa80_FC.mp4
CH,2025-09-23,88.2,-1.18,5.59,"Weaver, Luke",672820,596133,,foul,,,,,1,Foul,R,R,R,NYY,CWS,S,,,1,2,2025,-1.1,0.45,-0.487599153720829,3.0094125333545256,,681460,,0,9,Top,,,,,,,3.950927223339182,-128.48351164953112,-1.1353578587924942,-12.959302897470796,26.181389863388148,-27.20404818977912,3.32,1.59,5,78.8,-33,88.1,1933,6.1,776216,669224,502671,665862,676609,683011,641355,663757,592450,54.36,,,,,,,,68,5,Changeup,1,2,2,1,2,1,2,1,Infield shade,Standard,218,0.0,0.0,78.7,7.1,,0.0,88.0,-1,1,0.126,0.874,31,25,32,25,1,3,2,2,2,1,2.47,1.1,1.1,45.4,19.173652210617863,-26.17224814876932,24.7621589685626,30.30389532683621,38.78840419363655,46c514fd-5de1-377c-b849-8a192c6bcaf1,True,776216_46c514fd_CH.mp4
ST,2025-09-23,79.1,-1.68,5.76,"Javier, Cristian",671732,664299,,called_strike,,,,,2,Called Strike,R,L,R,ATH,HOU,S,,,0,0,2025,1.01,-0.08,0.0920452628831878,3.28511238664362,,667670,805779,2,1,Bot,,,,,,,1.9545617006348937,-115.18696307278546,1.563543437547123,8.560688769393842,23.123475543120215,-33.41404168198277,3.57077573803915,1.58595372612136,,,,78.1,2829,5.7,776208,673237,572233,514888,621043,643289,805904,676694,701358,54.8,,,,,,,,9,1,Sweeper,1,0,1,0,0,1,1,0,Standard,Standard,64,-0.006,-0.047,,,,0.047,,1,1,0.641,0.641,28,24,28,25,1,0,6,2,,1,3.74,-1.01,1.01,33.7,,,,,,bed07cfa-17a9-306e-8314-9ec41822220d,True,776208_bed07cfa_ST.mp4
SI,2025-09-03,90.3,-1.98,5.53,"Junis, Jakob",663853,596001,,foul,,,,,7,Foul,R,R,R,BOS,CLE,S,,,1,1,2025,-1.16,0.55,-0.3019695669155258,2.1665407613051664,,,,1,8,Bot,,,,,,,6.59044568883951,-131.38467253204365,-3.590401613028257,-14.80197451263397,26.649120695932996,-25.287330821544924,3.6,1.74,213,88.6,12,89.8,2072,5.9,776474,666310,692216,682177,608070,677587,680757,682657,678877,54.61,,,,,,,,68,3,Sinker,1,8,1,8,8,1,1,8,Strategic,Strategic,218,0.0,-0.064,59.2,5.8,,0.064,88.6,-7,-7,0.003,0.003,32,28,33,29,1,3,2,1,7,2,2.24,1.16,1.16,29.3,-20.097430568317314,23.03917470277172,40.097881790812544,34.33251826384262,6.300125833712001,ce8d27e5-01ce-38f2-a3e1-b690bd1a6d85,True,776474_ce8d27e5_SI.mp4
FF,2025-09-15,92.4,1.16,6.48,"Parker, Mitchell",673490,680730,,called_strike,,,,,1,Called Strike,R,R,L,WSH,ATL,S,,,0,0,2025,0.66,1.46,-0.3527462822167482,3.2324678093296573,660670,,645277,0,4,Top,,,,,,,-5.342541224759521,-134.39313410725003,-5.669767981305277,9.237678201223408,30.74770688721251,-13.423710344712733,3.49412213294374,1.55765866092913,,,,93.0,2203,6.8,776315,656180,605137,671277,657557,682928,695578,690987,686611,53.69,,,,,,,,25,1,4-Seam Fastball,1,1,1,1,1,1,1,1,Standard,Standard,169,0.009,-0.054,,,,0.054,,0,0,0.356,0.644,25,29,26,30,2,1,6,1,6,1,1.22,0.66,-0.66,67.8,,,,,,e7b9b955-3dcf-31ff-82f9-802cad6fdb61,True,776315_e7b9b955_FF.mp4
CU,2025-09-26,77.0,0.98,6.8,"Cameron, Noah",695391,702070,,ball,,,,,7,Ball,R,R,L,ATH,KC,B,,,0,1,2025,-0.27,-1.21,-0.7405945959267541,1.6174496492433894,,,,0,5,Bot,,,,,,,-3.140441246562405,-112.14560358946508,-1.7778019095822934,-1.6795636694305454,21.603030467943217,-42.25460585743919,3.33014368772669,1.53463644493861,,,,76.5,2359,6.0,776172,695600,686469,663697,672580,677951,624428,573262,695506,54.46,,,,,,,,38,2,Curveball,0,3,0,3,3,0,0,3,Standard,Standard,351,0.003,0.031,,,,-0.031,,-3,-3,0.188,0.188,25,27,26,27,2,1,6,1,,2,5.07,-0.27,0.27,63.0,,,,,,6f6ed226-be6a-37d5-9040-411930a462cf,True,776172_6f6ed226_CU.mp4
KC,2025-09-03,84.4,-1.46,6.53,"Brown, Ben",642201,676962,,ball,,,,,14,Ball,R,R,R,CHC,ATL,B,,,1,0,2025,0.26,-0.31,0.8535927442209321,-0.6429376744418773,,,,0,6,Top,,,,,,,4.896415523917495,-122.59975966293388,-9.686873927025829,1.6182846928046015,25.621841169926764,-33.50029285731854,3.74000126497436,1.77845927996415,,,,84.6,2298,6.7,776473,624512,683737,663538,807713,621020,664023,650489,673548,53.83,,,,,,,,35,2,Knuckle Curve,1,0,0,1,0,1,0,1,Standard,Standard,90,-0.012,0.077,,,,-0.077,,1,-1,0.654,0.346,25,31,26,31,1,1,5,1,6,4,3.54,-0.26,-0.26,47.3,,,,,,bf4ecc00-64b2-3452-baeb-dd25daef3de0,True,776473_bf4ecc00_KC.mp4
