pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches,play_id,downloaded,filename
CU,2025-09-13,73.5,-1.86,6.64,"Walker, Taijuan",695600,592836,,called_strike,,,,,5,Called Strike,R,L,R,PHI,KC,S,,,0,0,2025,0.43,-0.74,0.260803227825593,2.4847554207470903,,,,0,4,Top,,,,,,,3.5089227434982004,-107.0170919982746,0.2016261434488555,2.6443444645993357,19.64753286769105,-38.11787910691692,3.21718792932286,1.57918785563726,,,,72.6,2311,5.7,776342,592663,547180,622268,805249,681082,669016,664056,596146,54.79,,,,,,,,32,1,Curveball,3,4,4,3,4,3,4,3,Standard,Standard,52,0.003,-0.039,,,,0.039,,-1,1,0.377,0.623,32,21,33,22,2,1,6,1,6,1,4.98,-0.43,0.43,41.8,,,,,,f6459b60-7803-3697-b380-1402c978f0e6,True,776342_f6459b60_CU.mp4
SL,2025-09-03,82.6,-1.22,6.03,"Mejia, Juan",527038,675848,,swinging_strike,,,,,14,Swinging Strike,R,R,R,COL,SF,S,,,2,1,2025,1.24,-0.26,0.7683402538619503,1.196455036877428,,,,2,6,Top,,,,,,,2.1171762875209885,-120.38467200001956,-4.083254704609447,11.778944298787115,20.91941025449477,-34.16627981690667,3.3,1.61,,,,82.5,2964,5.9,776467,690924,682653,690022,691720,678662,687597,686668,671289,54.57,,,,,,,,55,4,Slider,5,9,9,5,9,5,9,5,Standard,Standard,44,0.0,-0.073,18.5,6.5,,0.073,,-4,4,0.094,0.906,24,33,25,34,1,3,3,1,5,4,3.56,-1.24,-1.24,40.1,18.834179146402523,-4.577021733834833,34.54718399417711,41.72571014669764,36.0102262945795,35b36a3a-75df-3a96-aab1-ead2e6998879,True,776467_35b36a3a_SL.mp4
SI,2025-09-13,94.7,-1.94,5.71,"Leahy, Kyle",661388,681517,,ball,,,,,11,Ball,R,R,R,MIL,STL,B,,,1,0,2025,-1.16,0.84,-1.289363557730462,2.462384522050616,686217,,694192,1,9,Bot,,,,,,,4.379132216441642,-137.92829096861263,-4.809421979416682,-15.771362265069367,29.50340662861206,-20.559609817000418,3.30988836774824,1.49827878420891,,,,96.7,2087,7.3,776339,686780,575929,680977,669357,695336,663457,687363,701675,53.2,,,,,,,,84,2,Sinker,6,7,6,7,7,6,6,7,Standard,Standard,205,0.016,0.045,,,,-0.045,,-1,-1,0.473,0.473,28,27,28,28,1,4,4,1,2,3,1.69,1.16,1.16,47.3,,,,,,bad4f5d4-a5c5-34a5-9dde-1b80c4f07a42,True,776339_bad4f5d4_SI.mp4
ST,2025-09-23,85.6,-2.89,5.33,"Pfaadt, Brandon",666163,694297,field_out,hit_into_play,,,,,9,Ben Rortvedt lines out to first baseman Ildemaro Vargas.,R,L,R,AZ,LAD,X,3,line_drive,1,2,2025,0.75,0.41,0.3377782997984671,1.9049379445498096,,,,0,3,Top,158.74,165.67,,,,,6.1154389431721015,-124.53248307712197,-2.610002410255129,6.536991894113634,26.166872533586854,-27.60807826431224,3.19,1.41,120,98.8,6,85.7,2805,6.4,776213,543510,545121,606466,677942,672695,664983,677950,682998,54.05,0.585,0.547,0.0,1,0,0,4,15,4,Sweeper,0,1,1,0,1,0,1,0,Infield shade,Standard,52,0.016,-0.189,69.5,7.5,0.657,0.189,98.8,-1,1,0.394,0.606,26,27,27,28,1,0,6,3,5,1,2.72,-0.75,0.75,20.1,18.36785227081183,-7.451467784929662,32.18938241474219,32.07767993391013,36.56583111260285,c2ad708a-d534-3ab2-9c9c-4ccfd7319eca,True,776213_c2ad708a_ST.mp4
FF,2025-09-16,94.0,-2.47,6.12,"Blubaugh, AJ",669701,805123,,foul,,,,,1,Foul,R,L,R,HOU,TEX,S,,,3,2,2025,-1.07,1.66,-0.3489203200930024,2.900854040216508,,,683227,0,3,Top,,,,,,,7.9305176380754,-136.44980700499926,-6.266458953251938,-15.197817805912823,33.839437248154844,-10.24174539047656,3.25,1.54,154,76.9,14,94.1,2454,6.8,776301,605170,572233,514888,621043,665161,660821,676694,805904,53.74,,,,,,,,19,6,4-Seam Fastball,1,0,0,1,0,1,0,1,Infield shade,Standard,219,0.0,0.0,65.7,5.6,,0.0,88.0,1,-1,0.559,0.4409999999999999,24,27,25,28,2,1,4,1,5,1,0.96,1.07,-1.07,44.2,-0.7166689841868316,22.471923132693277,35.9109526624256,36.24301608110188,19.075744017573605,f9dd8efb-cb78-3b6e-bd9f-05c259760186,True,776301_f9dd8efb_FF.mp4
KC,2025-09-24,79.6,-2.86,5.11,"Flaherty, Jack",671655,656427,home_run,hit_into_play,,,,,7,George Valera homers (2) on a fly ball to center field. Brayan Rocchio scores.,R,L,R,CLE,DET,X,,fly_ball,0,0,2025,1.07,-0.07,-0.592349768652844,1.9822713755549213,677587,,,1,3,Bot,144.61,41.38,,,,,2.9772117639458022,-115.87353720490594,0.0429310241766163,9.072777444203467,22.11030512926928,-33.05174083639464,3.43,1.55,393,101.1,27,80.2,2401,6.7,776204,693307,679529,650402,656716,700242,682985,678009,672761,53.75,0.5617872340425529,1.053936170212766,2.0,1,0,3,6,23,1,Knuckle Curve,0,1,0,1,1,2,2,1,Strategic,Standard,60,0.155,1.038,74.8,7.4,2.057170212765957,-1.038,101.1,-1,-1,0.493,0.493,29,24,30,25,2,1,7,1,8,1,3.67,-1.07,1.07,22.2,8.549689385669428,-5.577849400304191,24.35202802233457,43.190841638541386,37.90808944775157,3556e48d-d277-37fc-b055-85fe9d920e6e,True,776204_3556e48d_KC.mp4
FF,2025-09-02,95.1,-1.23,5.25,"Woo, Bryan",650490,693433,,ball,,,,,11,Ball,R,R,R,TB,SEA,B,,,0,2,2025,-0.73,1.23,-1.04296913422639,4.456633355381896,,,,1,5,Bot,,,,,,,2.114803293160254,-138.50736603912728,0.7781039220650634,-9.844871141386404,30.239696914236987,-16.634257561788573,3.5691516211763,1.61000043352924,,,,95.2,2344,6.3,776485,663728,647304,702284,553993,641487,668227,677594,670042,54.24,,,,,,,,39,3,4-Seam Fastball,2,3,2,3,3,2,2,3,Standard,Standard,224,0.003,0.017,,,,-0.017,,-1,-1,0.373,0.373,25,33,25,34,3,2,6,1,6,1,1.28,0.73,0.73,30.3,,,,,,d2b9ce7f-1696-3ecb-919d-8a7d913beba4,True,776485_d2b9ce7f_FF.mp4
ST,2025-09-17,83.4,3.31,5.5,"Weathers, Ryan",571657,677960,,called_strike,,,,,3,Called Strike,R,R,L,COL,MIA,S,,,0,0,2025,-0.83,0.24,0.7314727699025602,3.362138162040033,,,688760,2,3,Bot,,,,,,,-4.278286697154536,-121.56869594557884,0.9721473484364848,-7.5228629477549775,21.880627504569457,-30.13633004099683,3.5718858521138,1.68340552921419,,,,83.3,2596,5.9,776277,689414,688363,691594,681393,672640,681715,805300,687859,54.57,,,,,,,,29,1,Sweeper,2,1,2,1,1,2,2,1,Standard,Standard,285,-0.003,-0.042,,,,0.042,,1,1,0.644,0.644,25,34,26,35,2,1,6,3,7,2,3.0,-0.83,0.83,34.6,,,,,,058095e7-7d4d-3a2c-a0e2-bf8e03ab09b5,True,776277_058095e7_ST.mp4
SI,2025-09-02,95.6,-3.33,5.01,"Walker, Ryan",690022,676254,field_out,hit_into_play,,,,,13,Ryan Ritter flies out to right fielder Luis Matos.,R,R,R,COL,SF,X,9,fly_ball,1,1,2025,-1.14,0.38,-1.019070524634166,2.4656762750749617,,,,1,9,Bot,166.69,119.8,,,,,8.644332349078036,-138.99360045533317,-1.9733637113811089,-16.585851224873718,28.61681562720381,-27.000462113767597,3.58,1.68,224,72.3,45,95.8,2430,6.3,776486,672275,642086,669477,646240,683766,687551,808982,682641,54.23,0.266,0.286,0.0,1,0,0,3,78,3,Sinker,4,7,4,7,7,4,4,7,Standard,Standard,234,-0.012,-0.244,63.0,6.6,0.372,0.244,88.0,-3,-3,0.017,0.017,29,24,30,25,1,3,5,2,1,1,2.1,1.14,1.14,15.0,3.5665044665701746,-0.5332927312667745,36.89412679778412,24.96340400571785,24.80048505443864,eed8524a-70bb-3ec3-9374-a90668b61cfc,True,776486_eed8524a_SI.mp4
SL,2025-09-17,86.7,-2.53,5.52,"Ureña, José",661388,570632,,ball,,,,,14,Ball,R,R,R,MIL,LAA,B,,,2,1,2025,-0.24,0.82,1.104068347296467,1.4300637128565186,,,,1,6,Bot,,,,,,,9.173413030905303,-126.0110734566245,-5.277967825061617,-4.2909188326603465,23.914560834940897,-22.57855328633552,3.3950080171432,1.45199453773462,,,,86.9,2292,6.3,776291,665861,672724,695681,650859,694203,621493,669326,666176,54.19,,,,,,,,44,4,Slider,5,2,5,2,2,5,5,2,Standard,Standard,191,0.002,0.121,,,,-0.121,,3,3,0.905,0.905,33,27,34,28,1,2,3,1,6,1,2.21,0.24,0.24,25.4,,,,,,a5040f2d-2964-3937-b88a-8614dfd3d971,True,776291_a5040f2d_SL.mp4
